Drift_Type,Environment,IR,Detector,gmean,mtd,mtfa,mtr
gradual,Synthetic,1:1,ADWIN,85.6,357.5,13370.1,59.5531
gradual,Synthetic,1:1,AEDD,85.28,635.4,97535.2,160.8737
gradual,Synthetic,1:1,D3,84.45,559.0,77843.2,117.0034
gradual,Synthetic,1:1,DDM,85.94,460.1,88356.4,194.4691
gradual,Synthetic,1:1,KSWIN,80.82,586.8,37634.9,18.7495
gradual,Synthetic,1:1,PH,85.01,286.4,8835.3,26.847
gradual,Synthetic,1:10,ADWIN,83.76,238.7,15219.6,57.3505
gradual,Synthetic,1:10,AEDD,84.07,694.6,97503.2,160.6974
gradual,Synthetic,1:10,D3,83.96,574.0,64872.6,89.6529
gradual,Synthetic,1:10,DDM,84.02,448.0,70343.2,152.5689
gradual,Synthetic,1:10,KSWIN,81.12,665.1,56288.3,46.7467
gradual,Synthetic,1:10,PH,83.52,369.3,9997.0,28.2517
gradual,Synthetic,1:100,ADWIN,59.08,477.0,2248.7,5.313
gradual,Synthetic,1:100,AEDD,76.77,491.4,98034.4,201.2203
gradual,Synthetic,1:100,D3,75.04,479.0,42162.7,86.872
gradual,Synthetic,1:100,DDM,71.63,507.9,17524.6,34.7569
gradual,Synthetic,1:100,KSWIN,68.59,690.9,10260.4,13.3139
gradual,Synthetic,1:100,PH,61.25,396.6,2548.1,6.4951
gradual,Synthetic,1:20,ADWIN,80.48,337.5,8104.5,24.2819
gradual,Synthetic,1:20,AEDD,81.55,559.6,97420.0,151.9893
gradual,Synthetic,1:20,D3,83.32,509.0,58772.4,116.8579
gradual,Synthetic,1:20,DDM,81.11,404.4,14911.2,33.3996
gradual,Synthetic,1:20,KSWIN,77.93,796.3,13877.2,9.9122
gradual,Synthetic,1:20,PH,79.87,418.6,7270.5,22.1433
gradual,Synthetic,1:30,ADWIN,78.75,260.3,6868.0,23.4744
gradual,Synthetic,1:30,AEDD,79.42,599.4,97693.6,173.8062
gradual,Synthetic,1:30,D3,79.84,529.0,37549.9,73.7679
gradual,Synthetic,1:30,DDM,78.65,416.7,16058.2,30.6398
gradual,Synthetic,1:30,KSWIN,76.27,704.5,8260.3,6.4629
gradual,Synthetic,1:30,PH,77.96,474.3,6668.7,18.4013
gradual,Synthetic,1:40,ADWIN,77.44,323.9,6260.9,21.6999
gradual,Synthetic,1:40,AEDD,79.16,613.8,97836.0,182.4522
gradual,Synthetic,1:40,D3,80.63,474.0,39188.3,77.7035
gradual,Synthetic,1:40,DDM,78.21,425.7,11900.8,24.7294
gradual,Synthetic,1:40,KSWIN,71.53,700.3,12108.1,24.9597
gradual,Synthetic,1:40,PH,76.99,437.3,6783.6,15.7833
gradual,Synthetic,1:50,ADWIN,73.27,339.2,5022.3,17.5831
gradual,Synthetic,1:50,AEDD,77.39,563.4,98039.2,202.1753
gradual,Synthetic,1:50,D3,78.35,504.0,43053.8,81.102
gradual,Synthetic,1:50,DDM,74.91,472.2,11645.4,25.6374
gradual,Synthetic,1:50,KSWIN,72.75,687.1,14236.2,17.2788
gradual,Synthetic,1:50,PH,72.24,353.3,5449.0,15.3096
gradual,Synthetic,1:60,ADWIN,74.59,269.9,5316.5,19.8127
gradual,Synthetic,1:60,AEDD,78.36,557.0,97772.0,178.6757
gradual,Synthetic,1:60,D3,78.58,519.0,43047.1,81.376
gradual,Synthetic,1:60,DDM,75.81,374.6,11835.6,28.6286
gradual,Synthetic,1:60,KSWIN,71.54,788.1,8995.9,13.0195
gradual,Synthetic,1:60,PH,73.58,379.4,5750.8,17.0165
gradual,Synthetic,1:70,ADWIN,67.46,403.7,3047.9,8.5703
gradual,Synthetic,1:70,AEDD,77.38,545.8,97816.8,184.7978
gradual,Synthetic,1:70,D3,76.17,534.0,42368.4,76.3871
gradual,Synthetic,1:70,DDM,73.06,471.8,12833.3,27.0438
gradual,Synthetic,1:70,KSWIN,70.31,673.7,10552.0,12.7253
gradual,Synthetic,1:70,PH,67.93,485.9,3675.9,8.7589
gradual,Synthetic,1:80,ADWIN,56.83,400.2,2344.0,7.101
gradual,Synthetic,1:80,AEDD,74.46,483.2,98067.2,207.3996
gradual,Synthetic,1:80,D3,72.63,444.0,42536.7,93.301
gradual,Synthetic,1:80,DDM,71.43,552.9,31084.1,61.71
gradual,Synthetic,1:80,KSWIN,65.73,694.9,11194.2,14.4172
gradual,Synthetic,1:80,PH,57.67,504.8,2633.7,5.3248
gradual,Synthetic,1:90,ADWIN,57.95,428.9,2730.4,7.1233
gradual,Synthetic,1:90,AEDD,75.06,531.4,97874.4,186.8282
gradual,Synthetic,1:90,D3,71.32,444.0,23766.1,56.0675
gradual,Synthetic,1:90,DDM,71.28,546.9,23640.4,41.93
gradual,Synthetic,1:90,KSWIN,64.68,714.1,7985.9,9.8246
gradual,Synthetic,1:90,PH,55.71,608.3,2297.0,3.5072
sudden,Synthetic,1:1,ADWIN,86.38,29.9,29962.93,977.43
sudden,Synthetic,1:1,AEDD,85.91,165.8,99212.0,638.56
sudden,Synthetic,1:1,D3,86.32,104.0,69722.8,704.27
sudden,Synthetic,1:1,DDM,86.13,107.1,86280.67,800.38
sudden,Synthetic,1:1,KSWIN,84.5,172.7,56334.4,333.22
sudden,Synthetic,1:1,PH,86.03,71.4,14206.25,216.32
sudden,Synthetic,1:10,ADWIN,84.62,28.5,38263.37,1149.01
sudden,Synthetic,1:10,AEDD,84.79,155.4,99423.2,713.07
sudden,Synthetic,1:10,D3,85.01,99.0,83687.16,794.97
sudden,Synthetic,1:10,DDM,84.61,111.5,89577.2,767.19
sudden,Synthetic,1:10,KSWIN,84.32,137.5,46518.45,191.96
sudden,Synthetic,1:10,PH,84.43,50.6,15203.89,274.8
sudden,Synthetic,1:100,ADWIN,60.58,229.1,2281.64,42.21
sudden,Synthetic,1:100,AEDD,78.85,65.0,99740.0,1844.65
sudden,Synthetic,1:100,D3,78.06,99.0,66402.66,670.73
sudden,Synthetic,1:100,DDM,73.02,103.6,15223.82,142.21
sudden,Synthetic,1:100,KSWIN,70.44,98.5,8284.72,103.77
sudden,Synthetic,1:100,PH,64.25,214.6,3047.54,22.25
sudden,Synthetic,1:20,ADWIN,81.73,31.9,11366.78,340.72
sudden,Synthetic,1:20,AEDD,84.81,112.2,99577.6,1001.59
sudden,Synthetic,1:20,D3,84.25,99.0,43156.73,425.79
sudden,Synthetic,1:20,DDM,81.52,89.9,17524.42,187.2
sudden,Synthetic,1:20,KSWIN,81.17,101.28,11241.31,95.22
